iter	Passed	Remaining
0	1	1846
1	3	1684
2	5	1678
3	6	1619
4	8	1601
5	9	1638
6	11	1639
7	13	1644
8	14	1632
9	16	1615
10	17	1604
11	19	1569
12	20	1559
13	22	1549
14	23	1551
15	25	1547
16	27	1562
17	28	1576
18	30	1570
19	31	1561
20	33	1559
21	35	1556
22	36	1552
23	37	1541
24	39	1544
25	41	1542
26	42	1542
27	44	1550
28	46	1545
29	47	1532
30	48	1529
31	50	1520
32	51	1516
33	53	1510
34	54	1510
35	55	1494
36	57	1491
37	59	1495
38	60	1501
39	62	1508
40	64	1506
41	65	1505
42	67	1503
43	69	1500
44	70	1502
45	72	1497
46	73	1498
47	75	1503
48	77	1508
49	79	1504
50	80	1505
51	82	1505
52	84	1504
53	85	1502
54	87	1501
55	89	1502
56	90	1500
57	92	1500
58	94	1505
59	95	1501
60	97	1503
61	99	1497
62	100	1495
63	102	1492
64	103	1486
65	105	1486
66	106	1487
67	108	1488
68	110	1493
69	112	1491
70	113	1489
71	115	1485
72	116	1482
73	118	1486
74	120	1483
75	121	1482
76	123	1481
77	125	1479
78	126	1479
79	128	1477
80	130	1475
81	131	1474
82	133	1474
83	135	1473
84	136	1474
85	138	1471
86	140	1474
87	142	1478
88	144	1476
89	145	1474
90	147	1474
91	149	1471
92	150	1470
93	152	1469
94	154	1467
95	155	1466
96	157	1465
97	159	1465
98	160	1463
99	162	1461
100	163	1458
101	165	1456
102	167	1454
103	168	1455
104	171	1461
105	173	1459
106	175	1461
107	177	1462
108	179	1464
109	180	1462
110	182	1463
111	183	1458
112	185	1455
113	186	1452
114	188	1452
115	190	1454
116	192	1455
117	194	1453
118	196	1451
119	197	1449
120	199	1448
121	201	1448
122	202	1445
123	204	1445
124	206	1447
125	208	1445
126	209	1443
127	211	1439
128	213	1438
129	215	1438
130	216	1437
131	218	1436
132	221	1440
133	222	1439
134	224	1438
135	226	1435
136	227	1434
137	228	1429
138	230	1429
139	233	1432
140	235	1431
141	236	1428
142	238	1427
143	239	1424
144	241	1422
145	242	1419
146	244	1417
147	245	1416
148	247	1412
149	249	1412
150	250	1410
151	252	1411
152	254	1409
153	256	1406
154	257	1403
155	259	1403
156	261	1403
157	263	1401
158	264	1400
159	266	1401
160	268	1400
161	270	1399
162	271	1396
163	273	1394
164	275	1393
165	277	1392
166	278	1390
167	280	1389
168	282	1388
169	284	1386
170	285	1384
171	287	1384
172	289	1383
173	290	1380
174	293	1382
175	295	1381
176	297	1382
177	299	1380
178	300	1378
179	302	1377
180	303	1374
181	305	1373
182	306	1370
183	308	1369
184	310	1367
185	312	1366
186	314	1365
187	315	1362
188	316	1359
189	318	1357
190	320	1357
191	322	1355
192	323	1350
193	325	1352
194	327	1353
195	329	1352
196	331	1351
197	333	1350
198	335	1348
199	336	1346
200	338	1344
201	339	1342
202	341	1341
203	342	1337
204	345	1338
205	346	1335
206	348	1333
207	349	1331
208	351	1329
209	352	1327
210	354	1325
211	356	1324
212	357	1322
213	359	1322
214	361	1321
215	363	1318
216	364	1316
217	366	1314
218	367	1311
219	369	1309
220	371	1308
221	372	1304
222	373	1302
223	375	1301
224	377	1300
225	379	1298
226	380	1296
227	382	1293
228	383	1292
229	385	1290
230	387	1290
231	389	1288
232	390	1287
233	392	1285
234	395	1286
235	396	1284
236	398	1281
237	399	1279
238	401	1277
239	402	1275
240	404	1274
241	406	1272
242	408	1271
243	410	1270
244	411	1268
245	413	1267
246	415	1265
247	416	1264
248	418	1262
249	420	1260
250	422	1260
251	424	1259
252	425	1257
253	426	1253
254	428	1251
255	429	1248
256	431	1248
257	433	1246
258	435	1245
259	437	1244
260	438	1242
261	440	1240
262	441	1237
263	442	1234
264	444	1231
265	445	1229
266	447	1227
267	448	1225
268	450	1223
269	451	1221
270	453	1219
271	455	1218
272	456	1216
273	458	1214
274	459	1211
275	461	1209
276	462	1207
277	464	1206
278	465	1203
279	467	1202
280	469	1201
281	470	1198
282	471	1195
283	473	1193
284	474	1191
285	476	1189
286	477	1187
287	479	1185
288	481	1183
289	482	1182
290	485	1181
291	486	1178
292	487	1176
293	489	1174
294	490	1172
295	492	1170
296	493	1168
297	495	1166
298	496	1164
299	498	1162
300	500	1162
301	501	1160
302	503	1158
303	505	1156
304	507	1155
305	509	1155
306	511	1153
307	513	1154
308	516	1154
309	518	1155
310	521	1156
311	523	1155
312	525	1154
313	528	1153
314	530	1154
315	533	1153
316	535	1153
317	537	1152
318	539	1151
319	541	1150
320	543	1149
321	546	1151
322	549	1151
323	551	1150
324	553	1150
325	555	1149
326	557	1148
327	560	1147
328	562	1148
329	565	1147
330	567	1146
331	569	1145
332	571	1144
333	573	1142
334	575	1142
335	578	1143
336	581	1143
337	583	1142
338	585	1141
339	587	1140
340	589	1139
341	591	1138
342	594	1138
343	596	1137
344	598	1136
345	601	1136
346	603	1136
347	606	1136
348	609	1136
349	612	1137
350	615	1138
351	619	1139
352	622	1140
353	625	1141
354	629	1143
355	632	1144
356	636	1145
357	639	1146
358	643	1148
359	646	1149
360	650	1151
361	654	1154
362	659	1157
363	663	1158
364	666	1160
365	671	1163
366	676	1167
367	681	1169
368	686	1173
369	690	1176
370	694	1176
371	698	1179
372	704	1183
373	711	1190
374	716	1194
375	721	1197
376	726	1200
377	730	1202
378	733	1202
379	737	1202
380	739	1201
381	742	1200
382	747	1203
383	750	1203
384	753	1204
385	756	1203
386	759	1202
387	761	1201
388	767	1206
389	773	1210
390	778	1212
391	787	1220
392	796	1229
393	802	1234
394	808	1237
395	815	1243
396	822	1248
397	828	1252
398	835	1257
399	841	1261
400	848	1266
401	855	1272
402	862	1277
403	868	1281
404	873	1283
405	880	1287
406	885	1290
407	891	1292
408	896	1294
409	901	1297
410	905	1298
411	911	1300
412	915	1301
413	921	1303
414	927	1307
415	933	1310
416	938	1312
417	943	1314
418	948	1315
419	952	1315
420	957	1316
421	962	1317
422	965	1317
423	969	1317
424	974	1318
425	979	1319
426	983	1320
427	988	1320
428	992	1321
429	997	1322
430	1001	1322
431	1006	1323
432	1009	1322
433	1013	1321
434	1015	1319
435	1019	1318
436	1022	1316
437	1024	1314
438	1025	1311
439	1028	1308
440	1030	1306
441	1033	1304
442	1036	1303
443	1039	1301
444	1042	1299
445	1044	1297
446	1047	1296
447	1051	1295
448	1053	1292
449	1056	1290
450	1058	1288
451	1060	1285
452	1062	1283
453	1065	1281
454	1068	1280
455	1071	1277
456	1073	1275
457	1075	1272
458	1077	1270
459	1080	1268
460	1083	1266
461	1086	1264
462	1089	1263
463	1091	1260
464	1094	1258
465	1097	1257
466	1100	1255
467	1103	1254
468	1106	1252
469	1108	1250
470	1111	1248
471	1114	1246
472	1117	1244
473	1119	1242
474	1122	1240
475	1125	1238
476	1127	1236
477	1131	1235
478	1133	1233
479	1136	1231
480	1138	1228
481	1141	1226
482	1143	1224
483	1146	1222
484	1148	1220
485	1151	1217
486	1153	1214
487	1155	1212
488	1157	1209
489	1160	1207
490	1163	1206
491	1166	1204
492	1168	1202
493	1171	1200
494	1174	1198
495	1177	1196
496	1180	1194
497	1182	1191
498	1184	1189
499	1187	1187
500	1190	1185
501	1193	1184
502	1195	1181
503	1198	1179
504	1209	1185
505	1211	1183
506	1213	1180
507	1215	1177
508	1218	1174
509	1220	1172
510	1223	1170
511	1225	1168
512	1227	1165
513	1229	1162
514	1231	1160
515	1234	1157
516	1236	1154
517	1239	1153
518	1242	1151
519	1244	1148
520	1246	1145
521	1248	1143
522	1250	1140
523	1253	1138
524	1256	1136
525	1258	1134
526	1261	1132
527	1263	1129
528	1265	1126
529	1268	1124
530	1271	1122
531	1274	1120
532	1276	1118
533	1278	1115
534	1281	1113
535	1283	1110
536	1286	1109
537	1289	1107
538	1291	1104
539	1295	1103
540	1298	1101
541	1300	1099
542	1303	1096
543	1306	1095
544	1309	1093
545	1312	1091
546	1315	1089
547	1319	1088
548	1321	1085
549	1324	1083
550	1327	1081
551	1329	1079
552	1332	1076
553	1335	1075
554	1338	1073
555	1341	1070
556	1368	1088
557	1370	1085
558	1372	1083
559	1375	1080
560	1376	1077
561	1379	1074
562	1382	1072
563	1385	1070
564	1388	1068
565	1391	1066
566	1393	1063
567	1395	1061
568	1399	1059
569	1401	1057
570	1403	1054
571	1405	1052
572	1408	1049
573	1410	1047
574	1414	1045
575	1416	1042
576	1419	1040
577	1421	1037
578	1423	1035
579	1426	1032
580	1429	1030
581	1431	1027
582	1433	1025
583	1436	1023
584	1438	1020
585	1441	1018
586	1444	1016
587	1447	1013
588	1449	1011
589	1451	1008
590	1454	1006
591	1456	1003
592	1459	1001
593	1462	999
594	1465	997
595	1467	994
596	1470	992
597	1473	990
598	1476	988
599	1479	986
600	1482	984
601	1485	981
602	1487	979
603	1490	977
604	1493	975
605	1496	972
606	1499	970
607	1501	968
608	1504	966
609	1507	964
610	1511	962
611	1513	959
612	1516	957
613	1517	954
614	1520	951
615	1524	950
616	1527	948
617	1529	945
618	1532	943
619	1535	940
620	1537	938
621	1540	936
622	1543	933
623	1546	931
624	1548	929
625	1551	926
626	1553	924
627	1556	922
628	1559	920
629	1562	917
630	1565	915
631	1568	913
632	1571	911
633	1574	908
634	1577	906
635	1580	904
636	1583	902
637	1586	899
638	1588	897
639	1591	895
640	1594	893
641	1597	890
642	1599	888
643	1603	886
644	1606	884
645	1609	882
646	1612	879
647	1615	877
648	1618	875
649	1622	873
650	1625	871
651	1628	869
652	1631	866
653	1634	864
654	1637	862
655	1641	860
656	1644	858
657	1647	856
658	1650	854
659	1653	851
660	1657	849
661	1660	847
662	1663	845
663	1666	843
664	1669	841
665	1672	838
666	1675	836
667	1678	834
668	1682	832
669	1685	829
670	1688	827
671	1690	825
672	1693	822
673	1696	820
674	1699	818
675	1702	816
676	1705	813
677	1708	811
678	1711	808
679	1714	806
680	1716	804
681	1719	801
682	1722	799
683	1724	796
684	1728	794
685	1731	792
686	1734	790
687	1737	787
688	1740	785
689	1743	783
690	1747	781
691	1750	778
692	1752	776
693	1755	773
694	1758	771
695	1761	769
696	1764	767
697	1767	764
698	1770	762
699	1773	760
700	1777	758
701	1780	755
702	1783	753
703	1786	751
704	1788	748
705	1792	746
706	1795	744
707	1798	741
708	1801	739
709	1804	737
710	1808	734
711	1810	732
712	1814	730
713	1816	727
714	1819	725
715	1823	723
716	1826	720
717	1829	718
718	1831	715
719	1834	713
720	1837	711
721	1841	708
722	1844	706
723	1848	704
724	1851	702
725	1854	699
726	1858	697
727	1861	695
728	1864	693
729	1867	690
730	1871	688
731	1874	686
732	1877	683
733	1880	681
734	1883	679
735	1887	677
736	1890	674
737	1893	672
738	1896	669
739	1899	667
740	1903	665
741	1906	662
742	1909	660
743	1911	657
744	1913	655
745	1916	652
746	1920	650
747	1922	647
748	1924	645
749	1927	642
750	1930	640
751	1934	637
752	1937	635
753	1940	633
754	1943	630
755	1949	629
756	1952	626
757	1955	624
758	1959	622
759	1963	620
760	1967	617
761	1970	615
762	1973	613
763	1977	610
764	1983	609
765	1986	606
766	1990	604
767	1995	602
768	1999	600
769	2002	598
770	2005	595
771	2010	593
772	2014	591
773	2018	589
774	2021	586
775	2024	584
